licence_number,date,driving_hours,work_hours,rest_minutes
FR-104-852-371,2026-08-12,8.5,10.0,480
FR-104-852-371,2026-08-13,7.25,9.5,510
FR-104-852-371,2026-08-14,9.0,11.0,450
FR-104-852-371,2026-08-15,6.5,8.0,540
FR-104-852-371,2026-08-16,8.75,10.5,465
FR-104-852-371,2026-08-17,7.0,9.0,525
FR-104-852-371,2026-08-18,9.5,11.5,420
FR-104-741-258,2026-08-12,7.5,9.0,510
FR-104-741-258,2026-08-13,8.0,10.0,480
FR-104-741-258,2026-08-14,6.75,8.5,540
FR-104-741-258,2026-08-15,9.25,11.0,435
FR-104-741-258,2026-08-16,7.5,9.5,495
FR-104-741-258,2026-08-17,8.5,10.5,465
FR-104-741-258,2026-08-18,7.0,9.0,525
FR-104-963-147,2026-08-12,8.0,10.0,480
FR-104-963-147,2026-08-13,6.5,8.0,540
FR-104-963-147,2026-08-14,9.5,11.5,420
FR-104-963-147,2026-08-15,7.75,9.5,495
FR-104-963-147,2026-08-16,8.25,10.0,480
FR-104-963-147,2026-08-17,7.0,8.5,525
FR-104-963-147,2026-08-18,6.0,7.5,570
